epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,582.988,1.04176,0.66777,0.99926,0.85219,0.000332211,0.000332211,0.000332211
2,1198.21,0.87892,0.7104,0.9989,0.77886,0.000621618,0.000621618,0.000621618
3,1868.49,0.85271,0.72473,0.9989,0.77011,0.000867026,0.000867026,0.000867026
4,2487.67,0.81181,0.72363,0.9989,0.75424,0.000802,0.000802,0.000802
5,3193.58,0.75316,0.72914,0.99963,0.72853,0.000736,0.000736,0.000736
6,3854.91,0.73182,0.76295,0.9989,0.65219,0.00067,0.00067,0.00067
7,4564.31,0.69372,0.73172,0.99853,0.6949,0.000604,0.000604,0.000604
8,5238.83,0.69156,0.76038,0.99926,0.64862,0.000538,0.000538,0.000538
9,5922.42,0.66381,0.77067,0.9989,0.62872,0.000472,0.000472,0.000472
10,6520.71,0.64705,0.75634,0.99926,0.64905,0.000406,0.000406,0.000406
11,7174.39,0.63012,0.77251,0.9989,0.62353,0.00034,0.00034,0.00034
12,7840.74,0.60387,0.78243,0.99926,0.59479,0.000274,0.000274,0.000274
13,8509.32,0.58262,0.7839,0.99926,0.58209,0.000208,0.000208,0.000208
14,9124.27,0.55972,0.78574,0.99926,0.57601,0.000142,0.000142,0.000142
15,9698.56,0.54042,0.7975,0.99926,0.56242,7.6e-05,7.6e-05,7.6e-05
